Project,GitHub Repo,Stars,Forks,Latest main-branch commit (UTC),Contributor diversity
Cavelo,Cavelo44000/Cavelo,0,0,2025-06-20T17:56:01Z,Mostly parent-company/core team
GoodAccess,N/A,N/A,N/A,N/A,No clear OSS repo identified
Flagsmith,Flagsmith/flagsmith,6219,467,2026-02-19T08:22:15Z,Significant external contributors
WunderGraph,wundergraph/wundergraph,,,,Repo lookup failed
Lleverage,lleverage-ai/lleverage-active-monitoring,0,0,2025-11-04T15:42:33Z,Mostly parent-company/core team
PlayerZero,N/A,N/A,N/A,N/A,No clear OSS repo identified
CodeAnt AI,CodeAnt-AI/CodeAnt-AI,6,3,2024-01-19T09:54:20Z,Mostly parent-company/core team
Baserock.ai,N/A,N/A,N/A,N/A,No clear OSS repo identified
Windmill,windmill-labs/windmill,15838,882,2026-02-19T09:37:11Z,Mostly parent-company/core team
StepSecurity,step-security/harden-runner,964,83,2026-02-07T01:26:07Z,Mostly parent-company/core team
simplyblock,simplyblock-io/simplyblock,,,,Repo lookup failed
Cloud Storage Security (cloudstoragesec),N/A,N/A,N/A,N/A,No clear OSS repo identified
Encore (Leap),encoredev/encore,11434,558,2026-02-18T09:23:09Z,Mixed (core + external); notable: Spotify)
APIContext,N/A,N/A,N/A,N/A,No clear OSS repo identified
Gruntwork,gruntwork-io/terragrunt,9310,1139,2026-02-18T19:38:53Z,Significant external contributors
Golioth,golioth/golioth,,,,Repo lookup failed
Ambar,N/A,N/A,N/A,N/A,No clear OSS repo identified
LangDB,langdb/jupyterlite-langdb,1,0,2024-09-19T07:07:24Z,Mostly parent-company/core team
Syntasso (Kratix),syntasso/kratix,724,49,2026-02-18T17:09:54Z,Significant external contributors
NativeLink (Trace Machina),TraceMachina/nativelink,1486,206,2026-02-16T20:25:46Z,Significant external contributors; multi-company signals
Webiny,webiny/webiny-js,7937,657,2026-02-19T07:22:37Z,Mixed (core + external); multi-company signals
Roadie,RoadieHQ/roadie-backstage-plugins,335,469,2026-02-12T08:51:06Z,Significant external contributors; multi-company signals
Factor House,factorhouse/factorhouse-local,51,6,2026-01-06T02:49:47Z,Mostly parent-company/core team
Arcjet,arcjet/arcjet-js,647,29,2026-02-17T00:32:14Z,Mostly parent-company/core team
Amplication,amplication/amplication,16002,1554,2025-10-11T08:16:54Z,Significant external contributors; multi-company signals
Hiop,N/A,N/A,N/A,N/A,No clear OSS repo identified
Superstream,gpahal/superstream,3,0,2024-07-18T17:59:58Z,Mostly parent-company/core team
Apidog (Anakin AI),apidog/apidog,,,,Repo lookup failed
FalkorDB,FalkorDB/FalkorDB,3431,267,2026-02-18T08:15:31Z,Significant external contributors
Polar Signals,polarsignals/parca,,,,Repo lookup failed
Antimetal,antimetal/terraform-aws-antimetal,3,0,2023-08-08T16:48:48Z,Mostly parent-company/core team; notable: Antimetal)
Guepard,Guepard-Corp/Guepard,5,0,2025-03-22T19:23:02Z,Mostly parent-company/core team
ControlMonkey,N/A,N/A,N/A,N/A,No clear OSS repo identified
Radium,N/A,N/A,N/A,N/A,No clear OSS repo identified
Lumeus,N/A,N/A,N/A,N/A,No clear OSS repo identified
Plural,pluralai/open-plural,0,0,2020-01-16T16:27:52Z,Mostly parent-company/core team
Early AI,N/A,N/A,N/A,N/A,No clear OSS repo identified
digger.dev,diggerhq/digger,4855,573,2026-02-07T16:15:17Z,Significant external contributors
Comp AI,trycompai/comp,1385,250,2026-02-19T04:39:55Z,Significant external contributors; multi-company signals
Conexus,N/A,N/A,N/A,N/A,No clear OSS repo identified
ConfigCat,configcat/common,,,,Repo lookup failed
Lunar.dev,TheLunarCompany/lunar,398,24,2026-02-18T14:22:43Z,Mostly parent-company/core team
Zuplo,zuplo/zuplo,38,6,2026-02-17T13:28:50Z,Mixed (core + external); multi-company signals
Overmind,N/A,N/A,N/A,N/A,No clear OSS repo identified
quiltt,N/A,N/A,N/A,N/A,No clear OSS repo identified
SuperTokens,supertokens/supertokens-core,14921,639,2026-02-13T16:19:36Z,Mixed (core + external); multi-company signals
Thoras AI,N/A,N/A,N/A,N/A,No clear OSS repo identified
OpsCanvas,N/A,N/A,N/A,N/A,No clear OSS repo identified
Serverpod,serverpod/serverpod,3095,332,2026-02-18T19:58:10Z,Mixed (core + external)
Pull Systems,N/A,N/A,N/A,N/A,No clear OSS repo identified
Qencode,N/A,N/A,N/A,N/A,No clear OSS repo identified
Aspect Build (Bazel),aspect-build/aspect-cli,148,39,2026-02-16T04:21:49Z,Mostly parent-company/core team
Juice Labs,Juice-Labs/Juice-Labs,631,62,2025-05-01T01:30:32Z,Mostly parent-company/core team
Cloudoor,CLOUDoort/CLOUDoort,0,0,2023-02-28T15:31:57Z,Mostly parent-company/core team
Callback Technologies,N/A,N/A,N/A,N/A,No clear OSS repo identified
Packmind (ProMyze),PackmindHub/packmind,197,7,2026-02-19T09:36:20Z,Mixed (core + external)
TestSprite,TestSprite/Docs,24,6,2026-02-19T08:08:42Z,Mostly parent-company/core team
Typesense,typesense/typesense,25240,859,2026-02-19T06:58:37Z,Mostly parent-company/core team; multi-company signals
Marker.io,N/A,N/A,N/A,N/A,No clear OSS repo identified
Expanso,N/A,N/A,N/A,N/A,No clear OSS repo identified
Requestly,requestly/requestly,6328,591,2026-02-19T04:51:27Z,Significant external contributors; multi-company signals
Wasp,wasp-lang/wasp,18139,1425,2026-02-19T09:12:39Z,Significant external contributors; multi-company signals
Codiac,N/A,N/A,N/A,N/A,No clear OSS repo identified
Cerbos,cerbos/cerbos,4223,171,2026-02-16T07:56:20Z,Significant external contributors
Bruin,bruin-data/bruin,1373,57,2026-02-17T16:41:35Z,Significant external contributors
GlassFlow,glassflow/clickhouse-etl,413,25,2026-02-18T16:00:54Z,Mixed (core + external)
Kill Bill,killbill/killbill,5339,897,2025-11-25T07:51:04Z,Mixed (core + external); multi-company signals
Opsima,N/A,N/A,N/A,N/A,No clear OSS repo identified
Excalidraw,excalidraw/excalidraw,117042,12574,2026-02-17T13:10:05Z,Significant external contributors; multi-company signals
plakar,plakar/kapsule,,,,Repo lookup failed
Metify,N/A,N/A,N/A,N/A,No clear OSS repo identified
Trapezoid,N/A,N/A,N/A,N/A,No clear OSS repo identified
Authentik Security,goauthentik/authentik,20191,1479,2026-02-18T21:40:40Z,Mixed (core + external)
Pipekit,pipekit/pipekit-go,0,0,2022-01-13T17:21:24Z,Mostly parent-company/core team
Marimo,marimo-team/marimo,19203,923,2026-02-19T04:17:43Z,Mixed (core + external); multi-company signals
StackBooster,stackbooster/xmetaform,0,0,2024-08-21T15:14:45Z,Unknown
Hoppscotch,hoppscotch/hoppscotch,77882,5586,2026-02-05T10:09:47Z,Mixed (core + external)
Unkey,unkeyed/unkey,5160,600,2026-02-19T06:42:17Z,Mostly parent-company/core team; multi-company signals
NetBird,netbirdio/netbird,22703,1110,2026-02-19T07:14:11Z,Significant external contributors; multi-company signals
Cloud 66,cloud66-oss/habitus,1391,82,2020-02-05T17:10:28Z,Mostly parent-company/core team; multi-company signals
MaestroDev,MaestroHQ/maestroapp,1,0,2016-11-02T04:19:46Z,Mostly parent-company/core team
TeleportHQ,teleporthq/teleport-code-generators,1108,185,2026-02-13T13:16:57Z,Mixed (core + external); multi-company signals
Citeel,N/A,N/A,N/A,N/A,No clear OSS repo identified
Continue,continuedev/continue,31444,4169,2026-02-18T22:20:46Z,Mixed (core + external); multi-company signals
Casdoor (Casbin),casdoor/casdoor,13023,1567,2026-02-18T18:13:29Z,Mostly parent-company/core team
Taubyte,taubyte/tau,4972,184,2026-02-15T07:23:30Z,Mostly parent-company/core team
GO Feature Flag // Kuber //,thomaspoignant/go-feature-flag,1939,200,2026-02-17T01:08:23Z,Mostly parent-company/core team
KushoAI,kusho-co/kusho-test-runner,0,0,2024-11-19T06:27:38Z,Mostly parent-company/core team
Sylabs (pivot to QLAD),sylabs/singularity,933,112,2026-02-13T12:50:39Z,Significant external contributors; multi-company signals
Kedify (KEDA),kedacore/keda,9918,1319,2026-02-18T13:02:49Z,Significant external contributors; notable: Microsoft)
AxisNow,N/A,N/A,N/A,N/A,No clear OSS repo identified
LatenceTech,N/A,N/A,N/A,N/A,No clear OSS repo identified
Kortix,N/A,N/A,N/A,N/A,No clear OSS repo identified
Zyntra,N/A,N/A,N/A,N/A,No clear OSS repo identified
