analysis_date,company_name,company_url,pitchbook_profile_url,latest_round_date,latest_round_type,latest_round_amount_usd_m,latest_priced_round_date,latest_priced_round_type,latest_priced_round_amount_usd_m,valuation_disclosed,valuation_estimate_low_usd_m,valuation_estimate_high_usd_m,founder_tier,founder_background_summary,data_confidence,notes
2026-02-19,Cavelo,https://www.cavelo.com/,https://my.pitchbook.com/profile/459773-74/company/profile,2025-07-29,Seed VC - II,3.63,2025-07-29,Seed VC - II,3.63,No,20,50,Tier 1-2,"Led by serial cybersecurity founder James Mignacca with prior exit history (RootSecure to Arctic Wolf).",High,"Recent round data available publicly."
2026-02-19,StepSecurity,https://www.stepsecurity.io/,https://my.pitchbook.com/profile/499906-18/company,2024-05-01,Seed VC,3.0,2024-05-01,Seed VC,3.0,No,18,45,Tier 1,"Founding team includes former Microsoft engineers and experienced security builders.",High,"Seed round broadly reported by credible sources."
2026-02-19,ControlMonkey,https://www.controlmonkey.io/,https://my.pitchbook.com/profile/522900-46/company/profile,2025-01-15,Seed VC,7.0,2025-01-15,Seed VC,7.0,No,35,75,Tier 1,"CEO/co-founder Aharon Twizer is ex-AWS and prior founder with successful Spot-to-NetApp exit context.",High,"Strong public evidence for round amount/date."
2026-02-19,Arcjet,https://www.arcjet.com/,https://my.pitchbook.com/profile/531208-27/company/profile,2025-05-16,Series A,8.3,2025-05-16,Series A,8.3,No,70,150,Tier 1,"Founded by repeat founder David Mytton; leadership and investor network include senior security/platform operators.",High,"Series A round details visible in multiple sources."
2026-02-19,NetBird,https://netbird.io/,https://my.pitchbook.com/profile/495060-04/company,2026-01-13,Series A,10.0,2026-01-13,Series A,10.0,No,80,170,Tier 2,"Founded by network-security engineers (Misha Bragin, Maycon Santos) with prior cybersecurity startup experience.",High,"Recent round is clearly timestamped and priced."
2026-02-19,Zuplo,https://zuplo.com/,https://my.pitchbook.com/profile/496261-90/company,2023-11-09,Seed VC,9.0,2023-11-09,Seed VC,9.0,No,40,90,Tier 1,"Founding/leadership pedigree includes former Microsoft and Auth0 engineering leaders.",High,"Seed round amount/date consistently reported."
2026-02-19,Cerbos,https://www.cerbos.dev/,https://my.pitchbook.com/profile/472035-70/company,2023-04-12,Seed VC - II,10.93,2023-04-12,Seed VC - II,10.93,No,60,130,Tier 1,"Founded by ex-Google operator Emre Baran and serial entrepreneur Charith Ellawala.",High,"Public sources indicate extended seed financing."
2026-02-19,Lunar.dev,https://www.lunar.dev/,https://my.pitchbook.com/profile/519694-21/company,2023-11-09,Seed,6.0,2023-11-09,Seed,6.0,No,30,70,Tier 2,"Founders are cybersecurity and product leaders, including background tied to Check Point ecosystem.",Medium,"Valuation not disclosed and company naming overlaps in some datasets."
2026-02-19,Comp AI,https://www.trycomp.ai/,https://my.pitchbook.com/profile/758405-26/company,2025-08-01,Pre-Seed,2.6,2025-08-01,Pre-Seed,2.6,No,12,25,Tier 2,"Founders are startup operators with prior AI/compliance product-building experience.",Medium,"Very early-stage data; limited independent disclosures."
2026-02-19,SuperTokens,https://supertokens.com/,https://my.pitchbook.com/profile/439526-08/company,2020-08-25,Seed,0.13,2020-08-25,Seed,0.13,No,5,15,Tier 2-3,"YC-backed open-source authentication founders with strong product/community orientation.",Medium,"Financing appears stale; later rounds may be undisclosed."
